"Ticker","Nome","Negócios","Última (R$)","Variação"
"ENGI3","Energisa","5.700","10,86","-1,09%"
"INEP4","Inepar","5.300","1,40","-2,78%"
"CRPG5","Tronox Pigmentos","4.800","15,51","-2,88%"
"BRKM3","Braskem","4.600","9,10","-1,19%"
"UNIP3","Unipar","4.100","48,80","+0,00%"
"RSUL4","Metalúrgica Riosulense","4.000","69,19","-0,43%"
"CEBR3","CEB","3.600","19,45","+0,26%"
"SNSY5","Sansuy","3.600","3,41","-3,40%"
"EQPA3","Equatorial Energia Pará","3.500","5,56","-0,71%"
"BAZA3","Banco da Amazônia","3.400","70,96","+1,39%"
"PTNT4","Pettenati","3.300","4,62","+0,22%"
"RDNI3","RNI","3.300","2,27","+0,44%"
"BEES4","Banestes","3.100","8,42","+0,24%"
"PINE3","Banco Pine","3.100","6,00","+2,04%"
"ALUP3","Alupar","3.000","10,54","+2,43%"
"TELB4","Telebras","2.900","7,40","-1,33%"
"CLSC4","Celesc","2.800","106,20","-0,17%"
"RNEW11","Renova Energia","2.700","3,52","+1,73%"
"CTSA3","Santanense","2.600","2,80","-3,11%"
"PEAB3","Participações Aliança da Bahia","2.500","38,60","-4,22%"
"TKNO4","Tekno","2.300","180,01","+10,31%"
"MTSA4","Metisa","2.300","42,80","+1,66%"
"EMAE4","EMAE","2.300","29,39","+0,44%"
"BAUH4","Excelsior","2.200","83,99","+2,56%"
"CCTY3","RDVC CITY","2.200","31,00","+3,33%"
"BPAC3","Banco BTG Pactual","2.200","21,17","-0,61%"
"BALM4","Baumer","2.200","16,09","+0,56%"
"BSLI4","Banco de Brasília","2.100","8,43","+4,98%"
"FHER3","Fertilizantes Heringer","2.000","4,10","+0,49%"
"BSLI3","Banco de Brasília","1.900","8,15","+5,98%"
"CGRA4","Grazziotin","1.700","26,85","+0,56%"
"MGEL4","Mangels","1.600","4,00","+0,00%"
"AZEV11","Azevedo & Travassos","1.400","0,11","-15,38%"
"BMEB3","Banco Mercantil do Brasil","1.300","30,21","-5,77%"
"CGRA3","Grazziotin","1.300","27,40","-0,54%"
"CEBR6","CEB","1.300","21,43","+0,42%"
"EPAR3","Embpar Participações","1.300","4,57","+0,88%"
